[1005/170753.614:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[1005/220431.154:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1005/220540.103:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1005/220545.139:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1005/220550.155:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1005/220555.170:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1005/220600.186:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1005/220605.202:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1005/220610.217:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1005/220615.235:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1005/220620.251:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1005/220625.266:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1005/220630.281:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1005/220635.297:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1011/060138.432:ERROR:backend_impl.cc(1062)] Critical error found -8
